Comment,Designator,Footprint,LCSC,Quantity
1000uF_50V,C5,CP_Radial_D16.0mm_P7.50mm,C445418,1
100nF_Ceramic,"C6,C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,C1517817,2
10k,"R10,R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,C119347,2
12uH_5.2A_1260,L1,L_Bourns_SRR1260,C2041353,1
1k,"R11,R13,R14,R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,C119324,4
2N7002,Q7,SOT-23,C8545,1
4.7k,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,C119339,1
470uF_10V,C8,CP_Radial_D8.0mm_P3.50mm,C3274796,1
Buzzer,BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,C76871,1
COOL,D11,LED_D3.0mm,C17304835,1
FAN,D9,LED_D3.0mm,C17340814,1
GL5537,R12,R_LDR_5.1x4.3mm_P3.4mm_Vertical,C125628,1
HEAT,D10,LED_D3.0mm,C5990731,1
KBP210G,D7,Diode_Bridge_KBP,C244333,1
LM2596S-5,U2,TO-263-5_TabPin3,C347445,1
PINHD_1x18_Male,J1,PinHeader_1x18_P2.54mm_Vertical,C27985197,1
PINHD_1x3_Male,J7,PinHeader_1x03_P2.54mm_Vertical,C2932698,1
SS34,D8,D_SMC,C908239,1
Screw_Terminal_9_P3.50mm,J2,"TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal",C6373199,1
G6S-2,K1,Relay_DPDT_Omron_G6S-2,,1
G6S-2,K5,Relay_DPDT_Omron_G6S-2,,1
G6S-2,K2,Relay_DPDT_Omron_G6S-2,,1
G6S-2,K4,Relay_DPDT_Omron_G6S-2,,1
G6S-2,K3,Relay_DPDT_Omron_G6S-2,,1
G6S-2,K7,Relay_DPDT_Omron_G6S-2,,1
TBD62083A,U3,DW18,,1
