Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,185.6292,-70.0,0.0,top
C5,1000uF_50V,CP_Radial_D16.0mm_P7.50mm,189.2372,-107.0,0.0,top
C6,100nF_Ceramic,C_Disc_D5.0mm_W2.5mm_P2.50mm,189.75,-92.5,180.0,top
C8,470uF_10V,CP_Radial_D8.0mm_P3.50mm,131.25,-139.5,180.0,top
C9,100nF_Ceramic,C_Disc_D5.0mm_W2.5mm_P2.50mm,124.0,-139.25,90.0,top
D1,1N4007,D_DO-41_SOD81_P7.62mm_Horizontal,130.19,-71.0,180.0,top
D10,HEAT,LED_D3.0mm,73.0,-79.03,180.0,top
D11,COOL,LED_D3.0mm,73.0,-73.56,180.0,top
D2,1N4007,D_DO-41_SOD81_P7.62mm_Horizontal,129.69,-81.0,180.0,top
D3,1N4007,D_DO-41_SOD81_P7.62mm_Horizontal,129.69,-91.0,180.0,top
D4,1N4007,D_DO-41_SOD81_P7.62mm_Horizontal,130.19,-101.0,180.0,top
D5,1N4007,D_DO-41_SOD81_P7.62mm_Horizontal,130.19,-119.5,180.0,top
D6,1N4007,D_DO-41_SOD81_P7.62mm_Horizontal,130.19,-129.0,180.0,top
D7,KBP210G,Diode_Bridge_KBP,186.5,-137.485,90.0,top
D8,SS34,D_SMC,157.0,-139.0,-90.0,top
D9,FAN,LED_D3.0mm,73.0,-84.5,180.0,top
H1,MountingHole_M3_3.2mm_Pad,MountingHole_3.2mm_Pad,69.5,-64.5,0.0,top
H2,MountingHole_M3_3.2mm_Pad,MountingHole_3.2mm_Pad,69.5,-147.0,0.0,top
H3,MountingHole_M3_3.2mm_Pad,MountingHole_3.2mm_Pad,195.5,-147.0,0.0,top
H4,MountingHole_M3_3.2mm_Pad,MountingHole_3.2mm_Pad,195.5,-64.5,0.0,top
J1,PINHD_1x18_Male,PinHeader_1x18_P2.54mm_Vertical,173.0,-97.11,0.0,top
J2,Screw_Terminal_9_P3.50mm,"TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal",80.0,-107.5,-90.0,top
J3,DS18B20,PinHeader_1x03_P2.54mm_Vertical,173.96,-129.0,90.0,top
J4,3.2 lcd tft,PinSocket_1x14_P2.54mm_Vertical,110.5,-101.53,180.0,bottom
J7,PINHD_1x3_Male,PinHeader_1x03_P2.54mm_Vertical,84.79,-141.09,90.0,top
K1,G5Q-1A,Relay_SPST_Omron-G5Q-1A,95.985,-70.51,180.0,top
K2,G5Q-1A,Relay_SPST_Omron-G5Q-1A,95.89,-82.81,180.0,top
K3,G5Q-1A,Relay_SPST_Omron-G5Q-1A,95.89,-95.31,180.0,top
K4,G5Q-1A,Relay_SPST_Omron-G5Q-1A,95.985,-108.01,180.0,top
K5,G5Q-1A,Relay_SPST_Omron-G5Q-1A,95.985,-120.51,180.0,top
K6,G5Q-1A,Relay_SPST_Omron-G5Q-1A,95.985,-133.01,180.0,top
L1,12uH_5.2A_1260,L_Bourns_SRR1260,144.15,-138.5,0.0,top
Q1,2N2222A-TO92,TO-92_Inline_Wide_EBC,119.31,-71.0,0.0,top
Q2,2N2222A-TO92,TO-92_Inline_Wide_EBC,119.31,-81.0,0.0,top
Q3,2N2222A-TO92,TO-92_Inline_Wide_EBC,119.31,-91.0,0.0,top
Q4,2N2222A-TO92,TO-92_Inline_Wide_EBC,119.5,-101.0,0.0,top
Q5,2N2222A-TO92,TO-92_Inline_Wide_EBC,119.35,-119.5,0.0,top
Q6,2N2222A-TO92,TO-92_Inline_Wide_EBC,119.42,-129.0,0.0,top
Q7,2N7002,SOT-23,191.0625,-84.5,180.0,top
R1,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.31,-75.5,0.0,top
R10,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,135.5,-64.5,0.0,top
R11,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,79.0,-84.0,90.0,top
R12,GL5537,R_LDR_5.1x4.3mm_P3.4mm_Vertical,169.1,-67.5,0.0,bottom
R13,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,82.5,-78.0,90.0,top
R14,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,79.0,-70.5,90.0,top
R2,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.31,-85.0,0.0,top
R3,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.31,-95.0,0.0,top
R4,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.5,-105.0,0.0,top
R5,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.23,-123.5,0.0,top
R6,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.42,-133.0,0.0,top
R7,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,174.5,-124.5,0.0,top
R8,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,184.5,-84.5,90.0,top
R9,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,181.0,-84.5,90.0,top
U2,LM2596S-5,TO-263-5_TabPin3,173.05,-139.1,0.0,top
