Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,185.6292,-70.0,0.0,top
C5,1000uF_50V,CP_Radial_D16.0mm_P7.50mm,189.2372,-116.5,0.0,top
C6,100nF_Ceramic,C_Disc_D5.0mm_W2.5mm_P2.50mm,181.0,-104.75,-90.0,top
C8,470uF_10V,CP_Radial_D8.0mm_P3.50mm,131.25,-139.5,180.0,top
C9,100nF_Ceramic,C_Disc_D5.0mm_W2.5mm_P2.50mm,124.0,-139.25,90.0,top
D10,HEAT,LED_D3.0mm,73.0,-79.03,180.0,top
D11,COOL,LED_D3.0mm,73.0,-73.56,180.0,top
D7,KBP210G,Diode_Bridge_KBP,186.5,-137.485,90.0,top
D8,SS34,D_SMC,157.0,-139.0,-90.0,top
D9,FAN,LED_D3.0mm,73.0,-84.5,180.0,top
J1,PINHD_1x18_Male,PinHeader_1x18_P2.54mm_Vertical,173.0,-97.11,0.0,top
J2,Screw_Terminal_9_P3.50mm,"TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal",80.0,-107.5,-90.0,top
J7,PINHD_1x3_Male,PinHeader_1x03_P2.54mm_Vertical,84.79,-141.09,90.0,top
K1,G6S-2,Relay_DPDT_Omron_G6S-2,127.58,-82.785,-90.0,top
K2,G6S-2,Relay_DPDT_Omron_G6S-2,127.58,-91.92,-90.0,top
K3,G6S-2,Relay_DPDT_Omron_G6S-2,127.58,-101.055,-90.0,top
K4,G6S-2,Relay_DPDT_Omron_G6S-2,127.58,-110.19,-90.0,top
K5,G6S-2,Relay_DPDT_Omron_G6S-2,127.58,-119.325,-90.0,top
K7,G6S-2,Relay_DPDT_Omron_G6S-2,127.58,-128.46,-90.0,top
L1,12uH_5.2A_1260,L_Bourns_SRR1260,144.15,-138.5,0.0,top
Q7,2N7002,SOT-23,191.0625,-84.5,180.0,top
R10,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,176.5,-68.08,90.0,top
R11,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,79.0,-84.0,90.0,top
R13,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,82.5,-78.0,90.0,top
R14,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,79.0,-70.5,90.0,top
R7,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,174.5,-124.5,0.0,top
R8,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,184.5,-84.5,90.0,top
R9,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,181.0,-84.5,90.0,top
U2,LM2596S-5,TO-263-5_TabPin3,173.05,-139.1,0.0,top
U3,TBD62083A,DW18,126.5212,-69.92,180.0,top
